track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
6zC0mpGYwbNTpk9SKwh08f,0.572,0.214,7.0,-15.625,1.0,0.0293,0.649,0.129,0.125,0.485,95.542,225026.0
3Pzh926pXggbMe2ZpXyMV7,0.636,0.849,0.0,-7.075,1.0,0.106,0.0438,0.0,0.372,0.917,156.036,175493.0
70eDxAyAraNTiD6lx2ZEnH,0.612,0.921,7.0,-2.882,1.0,0.085,0.0183,0.0,0.0576,0.446,139.988,202173.0
0QULNNd9z5s35entfiiXoa,0.612,0.884,5.0,-4.4,1.0,0.0459,0.00516,0.0,0.0997,0.626,119.991,245625.0
2QfiRTz5Yc8DdShCxG1tB2,0.534,0.803,10.0,-9.129,1.0,0.0743,0.741,6.07e-05,0.307,0.969,167.983,161560.0
4vpeKl0vMGdAXpZiQB2Dtd,0.551,0.293,2.0,-12.503,1.0,0.0272,0.486,0.000273,0.0864,0.322,106.798,150640.0
1kgdslQYmeTR4thk9whoRw,0.498,0.242,9.0,-12.238,1.0,0.0257,0.835,0.536,0.133,0.312,153.744,271760.0
4Hhv2vrOTy89HFRcjU3QOx,0.274,0.348,5.0,-8.631,1.0,0.0293,0.547,0.0133,0.334,0.328,87.43,179693.0
0DnGfA1r8pAssJCuq4ojla,0.189,0.39,9.0,-14.497,0.0,0.0353,0.257,0.000152,0.122,0.32,169.563,370866.0
5G1sTBGbZT5o4PNRc75RKI,0.356,0.872,2.0,-7.837,1.0,0.068,0.00417,0.00975,0.0997,0.607,166.3,193653.0
0wJoRiX5K5BxlqZTolB2LD,0.533,0.905,2.0,-5.27,1.0,0.0754,0.00876,0.578,0.0698,0.486,108.9,170813.0
5dUMh0ugelpKfoFp3qChuK,0.598,0.571,8.0,-12.616,0.0,0.139,0.704,0.0,0.513,0.962,173.141,119880.0
4uGIJG1jYFonGc4LGp5uQL,0.504,0.578,4.0,-9.302,1.0,0.031,0.408,0.0,0.321,0.654,132.411,174840.0
3pHpV3pa96s4vuBP7sQq0V,0.263,0.759,0.0,-7.288,1.0,0.0431,0.0555,0.0,0.231,0.429,179.904,284496.0
6txWz9UapYHVxEd7dDIHXT,0.389,0.476,9.0,-9.342,1.0,0.0316,0.619,5.09e-05,0.255,0.566,148.117,217106.0
6FT83pFXKhDlXDsNJFAHWz,0.525,0.852,7.0,-9.519,1.0,0.222,0.731,5.11e-05,0.218,0.884,157.404,161906.0
6Nd6ntkzr4t8o1FKPGOSMt,0.292,0.823,7.0,-6.763,1.0,0.0407,0.0117,7.79e-05,0.155,0.244,89.939,275395.0
0QGwOFQChzflLAmPq5NwKo,0.555,0.377,1.0,-9.123,1.0,0.0295,0.671,0.0,0.128,0.619,78.986,158253.0
2LMq1O0NiqGhPOlXo3McYQ,0.417,0.63,9.0,-7.24,1.0,0.0898,0.0209,0.0134,0.0543,0.341,94.214,254533.0
2kWowW0k4oFymhkr7LmvzO,0.654,0.726,10.0,-3.803,0.0,0.0401,0.0311,6.35e-05,0.0618,0.728,103.987,211960.0
4U6mBgGP8FXN6UH4T3AJhu,0.624,0.306,2.0,-11.831,1.0,0.0318,0.634,2.67e-05,0.0632,0.227,139.912,232666.0
05NYcsjJwOYq4jIiKPVj9p,0.599,0.79,4.0,-3.58,1.0,0.043,0.00257,0.00181,0.312,0.961,103.783,188066.0
6xq5DxZWGgdStAxGAil0yw,0.733,0.726,7.0,-6.514,1.0,0.0371,0.379,2.58e-06,0.471,0.915,120.814,197160.0
69uJi5QsBtqlYkGURTBli8,0.588,0.149,7.0,-16.728,0.0,0.0319,0.846,9.65e-05,0.236,0.113,124.689,332960.0
6io0LJIP9ntX35hTfaxwQG,0.69,0.5,4.0,-16.145,0.0,0.0909,0.598,0.0288,0.11,0.586,191.539,236093.0
4HA2jo7wkMdN1lmLO6ryzE,0.578,0.836,2.0,-6.607,1.0,0.0512,0.163,1.36e-06,0.0583,0.932,167.026,209520.0
3ODl8J0TZAykdMCtCIO28n,0.486,0.765,4.0,-4.23,0.0,0.128,0.0239,3.02e-05,0.11,0.386,141.933,262240.0
3YdKJzcoMZMacISlpY4QoP,0.552,0.313,5.0,-12.41,1.0,0.0296,0.916,0.0017,0.12,0.303,88.554,202773.0
4xlEKYv7HmC8zXoJIbpZKM,0.525,0.578,9.0,-4.563,1.0,0.12,0.0132,0.00916,0.108,0.537,123.696,215266.0
4jU7NPkz4HVnM4hweqNhI1,0.481,0.645,10.0,-8.535,0.0,0.318,0.0863,6.2e-06,0.332,0.612,151.307,157560.0
3fkPMWQ6cBNBLuFcPyMS8s,0.532,0.728,9.0,-9.079,0.0,0.0352,0.106,0.0108,0.0849,0.69,134.303,271000.0
5qyq1H5OPMlfuvZQ1wQNo7,0.634,0.677,2.0,-7.19,1.0,0.0448,0.318,0.0,0.0902,0.939,95.792,179120.0
5K09WxKdlkroDyEVyOSySy,0.603,0.271,5.0,-10.083,1.0,0.0284,0.679,0.0,0.141,0.405,110.89,165333.0
1ynmMEK1fkyiZ6Z6F3ThEt,0.653,0.677,0.0,-12.244,1.0,0.0396,0.249,0.0,0.403,0.888,114.37,216533.0
1LOZMYF5s8qhW7Rv4w2gun,0.837,0.38,7.0,-13.341,0.0,0.064,0.541,0.00789,0.198,0.892,104.995,267946.0
66iKqUazBbTlAEjcZrpDkD,0.387,0.117,0.0,-17.803,1.0,0.0299,0.925,0.000171,0.109,0.166,93.575,151866.0
5GWCndQ8ykzf6rYRvwrFcj,0.595,0.279,2.0,-12.794,1.0,0.0306,0.838,0.00605,0.0841,0.212,92.345,176080.0
0sDeU2murnLh4yVHQ5IV70,0.733,0.624,4.0,-9.849,1.0,0.0374,0.623,0.0,0.407,0.912,114.586,154906.0
4dAN7KcWCWx5jV6dpwtfvN,0.671,0.233,11.0,-18.003,0.0,0.0378,0.875,0.00016,0.12,0.486,108.065,133960.0
5AoZknxgY6F25gAcVahO41,0.668,0.447,2.0,-11.124,1.0,0.0312,0.48,2.89e-06,0.153,0.588,81.415,281000.0
23IJ5wLRhEZ9DOuia5mPiZ,0.651,0.648,9.0,-11.409,1.0,0.0501,0.262,0.0042,0.0655,0.49,156.372,381626.0
0otlwsD3mSogk7VJCTp6Kg,0.651,0.653,0.0,-9.731,1.0,0.0545,0.365,0.000117,0.0742,0.729,164.912,164653.0
7AtwQRLPdttsxcLM5tPL0t,0.334,0.854,4.0,-7.531,0.0,0.0494,0.00235,0.00114,0.158,0.284,100.175,397768.0
48vDCZIRmrFO33fH4QU4ij,0.604,0.995,10.0,-3.641,0.0,0.164,0.00306,0.626,0.109,0.262,136.216,343386.0
79CUrU5o2KAVDTNm4x3eGU,0.545,0.948,11.0,-5.098,1.0,0.0779,0.00335,0.364,0.226,0.355,141.507,279800.0
5JBGbFdBtLcCCygw8rtjli,0.446,0.995,6.0,-1.169,1.0,0.223,0.000738,0.13,0.354,0.248,135.041,328733.0
3di5hcvxxciiqwMH1jarhY,0.603,0.67,2.0,-3.882,0.0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,242973.0
6DEMMeWXfmFAXgDUMMzeg6,0.591,0.28,4.0,-5.494,1.0,0.0283,0.889,0.0,0.124,0.348,141.916,271800.0
3bNv3VuUOKgrf5hu3YcuRo,0.556,0.319,9.0,-8.251,1.0,0.0281,0.893,0.0,0.0996,0.294,135.187,285240.0
6VObnIkLVruX4UVyxWhlqm,0.346,0.552,0.0,-6.864,0.0,0.0282,0.417,0.0,0.114,0.0789,75.881,286480.0
