mb_recording_id,spotify_track_id
82eda1a1-903e-457b-b9e5-91f15894cb25,4GgksqOS098BxNRNN6HPCQ
126925e4-b560-4a2f-a1a0-7fc541d6068b,4GaKQUKjP0CHdpxd5cQ8AC
2ffc9678-e12f-48b5-b60a-4d6c26889ac7,6RtPijgfPKROxEzTHNRiDp
66f4265b-f45a-4b8f-9216-d426c03fc249,3ePi3wg8FUYdLxCI53QAcN
9ed43719-0f7b-4cf6-8e73-e3006d18efd5,5vwlji9zMHoRSrtWaGhmWx
f59756da-8cff-4d23-978c-dcb3b3dbb84c,3QIoEi8Enr9uHffwInGIsC
3b4fcdcd-cad3-435b-a516-2b2351f89cfa,0B09VzKXhc3jYIGZyoUQpr
4c6c6e82-261c-4e50-b39b-e7d72194c113,5Tj5OBsNWNQov8FJRzCrdw
ec17b3c3-014d-4064-ad66-691bb2640149,0G1Li7fjSvvQ70XmN08MuP
40cb4bf9-a230-481e-b1a1-89a579ccca4e,4eamJr2k9YDH8j58RSTmSc
0e0369df-a6b6-4a86-8aec-80c1f03b96de,7iNGwN4yuxATUtv0qYXJ8Q
ef829d74-6309-4e4b-8f52-0440f5ac685a,4cJCNgN7nEF6Y560qcAAaQ
ad5e7418-3faf-4b7d-a0ef-de22e0477ccd,4qknM1pQz53QOyfDVTjcM9
d940a01c-b3e9-4f0d-b370-d491036e5f35,1EXjeunpD17KSY7jxbNJAD
e183874c-1e5d-4fed-a5cb-9346fff81abc,5nnqlL4NxiF2AcIJyft1fF
d25d3aed-0e07-41c7-9c8b-7396bc76e978,6UcHEiUIzWN4s7n1WRQycB
cd0e7d78-9681-4081-b38d-4fbe9e87e012,5w24xZUicD68LjnZvtougC
12956527-81a0-4377-a15e-bfbaefb6b53e,7CIzpZaeeNCtJDi1nqEDXb
44fb472f-a17a-4274-b05c-9bc00d187e8c,1u8wBj7F6zRgaMJRzz0DDw
00302b35-7d85-4606-8881-1d967a1b511b,3ertpqNsmoDueJvuHQGxOT
016fd477-8749-42f9-a2bd-edc0ca481ed1,7urKVEhQybtxqAzvxSbVVc
20800f63-a496-4557-8c88-edbe227e9b7e,3zs87EV3EZSh2UpiXxT52Y
27bc6f6c-e413-46a6-be2a-09527fc9408d,6XO3pbrZP9JBJclHt0JiY0
0f27eaa7-c9f5-4fe7-ab50-98c43f9fdecf,0XZ7xLQGxMGluQcSUaDT7b
29f6ae52-ef5a-4536-a230-cd39c5e61a8c,3Nf8oGn1okobzjDcFCvT6n
b7032bab-9755-451e-8492-7211b3b94021,04x1x0L8BYyIv1XlcJxWfi
5feb816f-8bae-4920-b0b9-b28fb77a8222,0iOHXVJkhEvrZoYNEBoXaI
3ad720f3-cf4a-4746-8ef6-56082a8284e6,33Bd5VF5zvaekFyTxut3Q6
c8d9863d-c7e0-4fc4-b41c-10badaafd929,3oLXQgbcC34Oo4gFHCeTmi
812d7f6c-16d2-405a-ae1a-6fcbb8962269,1Cwsd5xI8CajJz795oy4XF
621964a4-a570-423e-9e7e-3696cb14134c,40u9RFyKQfXwpPjFzK1bGO
31607350-a10e-4c67-b3cc-125d94411b55,4j9Y9TzpmUE21e91R5DT7k
f02d9a1d-7b21-420a-a27a-e604e7bb65fc,1PMoCaueuYLYuVS98xukIH
ba208a3b-e89a-44fa-8c32-1751d799f4cc,0fIG0HBRIjLRNDHAogtwSB
55aaa018-3bc7-4d29-8df7-c5a22fe299ec,38xhBO2AKrJnjdjVnhJES6
4c13c951-2c72-4f02-a0d2-33768e997281,7rvyVWja33WG9R97oeJAjx
431503e0-26d0-453a-b66d-8130def47f35,7goE6wDBvkZoeWrFm0EdCg
17109806-0308-43aa-ae11-df0ac25db727,255kDkeqCpJpraOrCK4kHq
2d7b3bea-75bf-4b3d-bdd1-1315510edf1f,3v5Fadbgy13zu2n5foIvu4
0ccee29c-2fac-4d97-b81e-a0694e03483b,59VyJv1490od8BoGTk7iRm
d26b9940-0cb6-45a3-bfca-3c8efbb07347,1B9FG4cLQujWD1NVMVbJwY
5d98be05-0c22-4081-afe8-c58bec9f35ed,6BDWITl9HpvfD0Kacsmcu3
d91191fd-a2df-4fcb-869b-417ff77c29b5,32r2PKxfSJhDBSyO702TaO
32dead3d-7abb-45aa-b2e0-ac17e6f78600,0LZCCNso0vPlpWsI5QjhnW
4a643f3e-effd-48f2-b268-c0f8ac4fa127,5SVuelai9DFZFtnKxF7wLD
6b5ee2d7-feb5-4f12-ba61-7371f025bc14,5IKgVEwX7Pj3UkG8NymrPn
35a63918-b825-4d4c-9b47-301485eebc65,6r20M5DWYdIoCDmDViBxuz
4271d708-6666-4745-89eb-7d5111caffd9,0jWgAnTrNZmOGmqgvHhZEm
02faccc2-1969-4ce9-ae8d-94bc40809029,2gJEYvp4QkpOgpOGj8y5ZD
c4739ffb-3e4b-4764-8667-c4398a7748dc,3XTdGTe68bGpGh0d6TDy1V
f4072eab-6a9e-4401-86d7-d9c4118cbc8b,1oQo0TQoCLbWmkXEtNTfoA
1170396b-221a-4241-b1f3-a3c6fb8b26e8,563gdtCNV5n8UCbRN1PRAi
e33057ed-5355-48ed-8d0e-319ab5cf2717,3OfHkVTD7efikqeBQJBYyM
c3bda551-c7c9-45c1-b46d-ca8f6ab11c3c,4mOxpj82q6n3EO7HBZCelX
9b785a72-0f0f-4314-9e14-3428f23fc5e9,3IM1M7dY6EtGEuDE3b8LAm
d044fab1-8dba-4821-a394-c0ed9af902b0,3EbZ5BPfyt1txbgIOsJNcS
9bdca2ad-6717-4e26-9923-a177db74df29,3WWVDPjihd1VITBLF10nha
e34b46ee-ae7f-4e32-8646-b5f7b5639bed,0vFpQzkHE50hqF61UrnP73
985bec78-d50c-47ff-94b7-bcfa84aef748,2obTnCmXErghJPwnXFw4tV
d6115759-2aee-42b5-99f0-193f7fd59d6c,5HlaPoizGrZAclPPH8ZXS4
70d817a1-7d33-4df8-87ae-3b522df4a3d8,57RpYNriGgrpP7aa4dchR7
10b37db7-2d57-4b8f-a911-abf143a17315,1m5wzpnKOR8l02w1DWQHY8
2d02be05-1db6-4f1c-ac23-f1a1aeafa527,14J3PO0VnhtcRa31r7Aj1L
bd8647bb-5cc4-4b07-ae5d-ebfdd4d52ed9,2oaK4JLVnmRGIO9ytBE1bt
02027bd1-c1cb-4d22-93f1-90eb3b74b589,1x8eR79qEHjqSRAeQzV8c2
287eb8c1-87fc-4588-972a-bcf1e9345cf4,4Z9LuixhJtBO8aAr4f5OjH
95ccdde4-c2f9-421f-80cb-7b14da80140d,4lC9s3vwDa16w2G33KfF9C
e845636e-5057-427d-a49c-24a7c0808d29,6Sy9BUbgFse0n0LPA5lwy5
c0cef25b-6641-44e6-af18-4d8146b81a42,1tJkic0TURTCXw3rBhYgWu
9b5bd6ba-7e55-42b0-bd91-da7e3c3408e5,76YDsWGWezclVy9Z6sDGhf
1834db64-5540-43bf-826c-91616de15328,35kogQvORofuPK9lti7tqa
8519fda6-dda3-4ac1-bc24-1a96f41aa9f0,4Nh5NUyIZLXbH0IrfgDGmq
d7364043-8dfe-4614-8dfe-2f3748cceec2,0Gl5s8IhMmQE5YQwM8Qx1J
74c81a0f-3ec4-43b5-86f3-2c92043bd940,5v6b9RUk83Z33shcsqt1m3
f9831517-b27a-452a-a27e-d9f6b57b5ede,77khP2fIVhSW23NwxrRluh
fa8680b2-5fb4-45c3-a7b6-221b0b0262f2,4oA0yg1roFsXnkzfOy10WT
cd49e7f0-f5c7-446d-a2bb-8bb311459276,2sanQAxOWUCiGLO2KpLCJp
5536e2a4-2e76-46df-88c1-baf0ee19e185,7KH8jDS5KSmsDOeOrOptBc
b9bb2697-f93a-4ff7-bee0-da507a7c4acd,5Hroj5K7vLpIG4FNCRIjbP
2f74e5e7-6918-49bc-8fba-0e049f9bcbed,1CmylxKewaz3wVVgYcPzmb
2a890d08-eeee-45f2-9e2b-b9b667e4ea6e,0TbUxXnq9HZSQfm5MuQcL3
cf37738b-dad0-40a8-9f7d-bac9726a4784,35hMprxd8xjqmVo1Ss6R2c
b6395af3-b1d3-4d47-9bdf-28d0734a17e8,7id2eUanqPKnZlnJ6ehsz4
46bf9c76-f0c0-4aec-84d4-d7af61eec1f5,6lC06XEbufr0PQJ3g4Qi67
f3bfdae5-5878-4a80-b9ba-0f9053de217c,2rMFw4RKfdUZxNTw7D4rm2
84af0da3-5851-4efd-9b86-d3241e189332,4leFR7V43QabSeyPMvbqYH
1af45bde-32b9-4f92-8bf5-2e4996241fd2,5iZ5wjTTxSIv8Cfrhj6Jla
c214edc2-b946-4cfe-99a0-b41d10d21834,3jwjRiAGKizbD4Ma00UBUe
2f6310ef-b130-4dc9-b8f8-2625f60d5a2e,4JKwW0A2OQeAUpYZd99Lfo
04a7009f-b77e-46dc-abf6-cccb16d6a0b5,1ppE6XvxAX2EOR5POLUzy0
02e83bcf-4068-4472-b502-4327709db295,1eb1O0YvVQSIixt9DoO0Dc
fcfe7875-983c-4514-b637-cbd182066e6d,0l9efLkn7sbGgJ9J8TurgU
ffc2a417-1bb1-412c-bdfc-2df888299837,0MRxky7qNUioEsQe7U1O6E
19220272-da60-4887-9bd7-97f67a198dc8,6ctbCIikHbC6tSOL1rewQX
67245eb8-94e6-4875-983d-3cd051cc517d,26ecDeti5s5fPVyOft93hX
ba143d09-e3fa-4ae6-97f2-f1fb366d9180,3sdABmOo4JklRUxpE802s7
cb92d023-1a45-41e7-8168-6147b1c0e4b7,6HveTIMynTMzTc5L0TcS20
a6e1b9b8-159b-401c-88b7-2a207b01ca15,1TwVcKR6JojvPwBGbWZT36
affa97f6-5096-45db-b4fc-5a01ae8f2069,5IxmmHkTSS5tY7FBOdEfES
c66475c7-adc2-4dc1-ba27-f7396c27cb43,3DRyJ7FT8yCLtF0e6K5JeG
c008665a-9bf0-4203-9f15-4512d7f685b3,5Sl4762Gx7mbUV9R8Mrbut
