date,rank,last-week,peak-rank,weeks-on-board,track_id,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,track_name,artists
2009-02-14,48,40.0,20,34,3pxCXv0NACYfYnLjFcQW5D,Saving Abel,70,222826,True,0.512,0.864,7,-4.146,1,0.0338,0.000821,0.0,0.0982,0.527,138.018,4,grunge,Addicted,Saving Abel
1986-07-05,99,61.0,1,22,4OIRWMwEHR6oCU7g1QgK0n,Fiesta temática 80s,0,359706,False,0.669,0.81,2,-6.854,1,0.0341,0.408,8.58e-06,0.0614,0.966,111.58,4,blues,Addicted To Love,Robert Palmer;Eric 'ET' Thorngren
1986-07-05,99,61.0,1,22,4OIRWMwEHR6oCU7g1QgK0n,Fiesta temática 80s,0,359706,False,0.669,0.81,2,-6.854,1,0.0341,0.408,8.58e-06,0.0614,0.966,111.58,4,blues,Addicted To Love,Robert Palmer;Eric 'ET' Thorngren
1986-07-05,99,61.0,1,22,4OIRWMwEHR6oCU7g1QgK0n,Fiesta temática 80s,0,359706,False,0.669,0.81,2,-6.854,1,0.0341,0.408,8.58e-06,0.0614,0.966,111.58,4,blues,Addicted To Love,Robert Palmer;Eric 'ET' Thorngren
1986-07-05,99,61.0,1,22,4OIRWMwEHR6oCU7g1QgK0n,Fiesta temática 80s,0,359706,False,0.669,0.81,2,-6.854,1,0.0341,0.408,8.58e-06,0.0614,0.966,111.58,4,blues,Addicted To Love,Robert Palmer;Eric 'ET' Thorngren
1986-07-05,99,61.0,1,22,4OIRWMwEHR6oCU7g1QgK0n,Fiesta temática 80s,0,359706,False,0.669,0.81,2,-6.854,1,0.0341,0.408,8.58e-06,0.0614,0.966,111.58,4,blues,Addicted To Love,Robert Palmer;Eric 'ET' Thorngren
2019-10-12,98,86.0,86,2,3uHxCgxHJIAGY52Oz39xqC,Perreo Tenebroso Vol. 2,0,270740,False,0.734,0.836,10,-4.803,0,0.0736,0.0171,1.71e-05,0.179,0.622,80.002,4,latin,Adicto,Tainy;Anuel AA;Ozuna
2019-10-12,98,86.0,86,2,3uHxCgxHJIAGY52Oz39xqC,Perreo Tenebroso Vol. 2,0,270740,False,0.734,0.836,10,-4.803,0,0.0736,0.0171,1.71e-05,0.179,0.622,80.002,4,latin,Adicto,Tainy;Anuel AA;Ozuna
2019-10-12,98,86.0,86,2,3uHxCgxHJIAGY52Oz39xqC,Perreo Tenebroso Vol. 2,0,270740,False,0.734,0.836,10,-4.803,0,0.0736,0.0171,1.71e-05,0.179,0.622,80.002,4,latin,Adicto,Tainy;Anuel AA;Ozuna
2019-10-12,98,86.0,86,2,3uHxCgxHJIAGY52Oz39xqC,Perreo Tenebroso Vol. 2,0,270740,False,0.734,0.836,10,-4.803,0,0.0736,0.0171,1.71e-05,0.179,0.622,80.002,4,latin,Adicto,Tainy;Anuel AA;Ozuna
