id,releases
621964a4-a570-423e-9e7e-3696cb14134c,XW
621964a4-a570-423e-9e7e-3696cb14134c,NL
621964a4-a570-423e-9e7e-3696cb14134c,XE
31607350-a10e-4c67-b3cc-125d94411b55,GB
31607350-a10e-4c67-b3cc-125d94411b55,US
f02d9a1d-7b21-420a-a27a-e604e7bb65fc,US
ba208a3b-e89a-44fa-8c32-1751d799f4cc,GB
55aaa018-3bc7-4d29-8df7-c5a22fe299ec,US
4c13c951-2c72-4f02-a0d2-33768e997281,XW
4c13c951-2c72-4f02-a0d2-33768e997281,US
431503e0-26d0-453a-b66d-8130def47f35,GB
431503e0-26d0-453a-b66d-8130def47f35,US
431503e0-26d0-453a-b66d-8130def47f35,XW
431503e0-26d0-453a-b66d-8130def47f35,AU
431503e0-26d0-453a-b66d-8130def47f35,XE
17109806-0308-43aa-ae11-df0ac25db727,GB
17109806-0308-43aa-ae11-df0ac25db727,US
2d7b3bea-75bf-4b3d-bdd1-1315510edf1f,XW
0ccee29c-2fac-4d97-b81e-a0694e03483b,DE
d26b9940-0cb6-45a3-bfca-3c8efbb07347,CA
d26b9940-0cb6-45a3-bfca-3c8efbb07347,AU
d26b9940-0cb6-45a3-bfca-3c8efbb07347,US
d26b9940-0cb6-45a3-bfca-3c8efbb07347,XE
5d98be05-0c22-4081-afe8-c58bec9f35ed,US
5d98be05-0c22-4081-afe8-c58bec9f35ed,XW
d91191fd-a2df-4fcb-869b-417ff77c29b5,GB
d91191fd-a2df-4fcb-869b-417ff77c29b5,US
d91191fd-a2df-4fcb-869b-417ff77c29b5,XW
d91191fd-a2df-4fcb-869b-417ff77c29b5,DE
d91191fd-a2df-4fcb-869b-417ff77c29b5,XE
d91191fd-a2df-4fcb-869b-417ff77c29b5,JP
d91191fd-a2df-4fcb-869b-417ff77c29b5,NL
d91191fd-a2df-4fcb-869b-417ff77c29b5,DK
32dead3d-7abb-45aa-b2e0-ac17e6f78600,US
4a643f3e-effd-48f2-b268-c0f8ac4fa127,FR
4a643f3e-effd-48f2-b268-c0f8ac4fa127,US
4a643f3e-effd-48f2-b268-c0f8ac4fa127,XW
6b5ee2d7-feb5-4f12-ba61-7371f025bc14,US
35a63918-b825-4d4c-9b47-301485eebc65,NL
4271d708-6666-4745-89eb-7d5111caffd9,AU
4271d708-6666-4745-89eb-7d5111caffd9,GB
02faccc2-1969-4ce9-ae8d-94bc40809029,DE
f4072eab-6a9e-4401-86d7-d9c4118cbc8b,GB
1170396b-221a-4241-b1f3-a3c6fb8b26e8,US
